,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
374,1992,Hungary,35,45,Spain,34748508332.0,HUN,10369341.0
375,1992,Individual Olympic Athletes,3,3,Spain,,IOA,
376,1992,Indonesia,6,6,Spain,,IDN,187766086.0
377,1992,Iran,3,3,Spain,,IRN,58260738.0
378,1992,Ireland,2,2,Spain,49847127266.0,IRL,3558430.0
379,1992,Israel,2,2,Spain,67530220219.0,ISR,5123000.0
380,1992,Italy,44,45,Spain,1242110000000.0,ITA,56797087.0
381,1992,Jamaica,3,4,Spain,4071219198.0,JAM,2465362.0
382,1992,Japan,44,47,Spain,3578140000000.0,JPN,124229000.0
383,1992,Kenya,8,8,Spain,8151479004.0,KEN,24963953.0
384,1992,Latvia,3,3,Spain,,LVA,2614338.0
385,1992,Lithuania,13,13,Spain,1122305939397.5,LTU,3700114.0
386,1992,Malaysia,2,2,Spain,,MYS,19012724.0
387,1992,Mexico,1,1,Spain,314454000000.0,MEX,88828310.0
388,1992,Mongolia,2,2,Spain,,MNG,2243502.0
389,1992,Morocco,3,3,Spain,32285388165.0,MAR,25791494.0
390,1992,Namibia,1,2,Spain,3012742078.0,NAM,1513721.0
391,1992,Netherlands,32,33,Spain,,NLD,15184166.0
392,1992,New Zealand,14,15,Spain,42745329732.0,NZL,3531700.0
393,1992,Nigeria,11,11,Spain,,NGA,100221563.0
394,1992,North Korea,9,10,Spain,60764706980.5,PRK,20937404.0
395,1992,Norway,22,23,Spain,121872000000.0,NOR,4286401.0
396,1992,Pakistan,16,16,Spain,45451960732.0,PAK,113747135.0
397,1992,Peru,1,1,Spain,34672122381.0,PER,22737056.0
398,1992,Philippines,1,1,Spain,,PHL,65075486.0
399,1992,Poland,45,46,Spain,85500935935.0,POL,38363667.0
400,1992,Puerto Rico,1,1,Spain,,PRI,3585176.0
401,1992,Qatar,1,1,Spain,6883516484.0,QAT,495517.0
402,1992,Romania,42,53,Spain,28998684211.0,ROU,22794284.0
403,1992,Russia,186,220,Spain,,RUS,148689000.0
404,1992,Slovenia,6,6,Spain,,SVN,1996498.0
405,1992,South Africa,3,3,Spain,,ZAF,38646788.0
406,1992,South Korea,45,49,Spain,325734000000.0,KOR,43747962.0
